player,total_points
"Krajinovic, Filip",845
"Goffin, David",870
"Monfils, Gael",880
"Moutet, Corentin",892
"Molcan, Alex",895
"Brooksby, Jenson",920
"Murray, Andy",920
"Nakashima, Brandon",927
"Mannarino, Adrian",946
"Sonego, Lorenzo",950
"Rinderknech, Arthur",952
"Baez, Sebastian",987
"Draper, Jack",990
"Isner, John",1005
"Ruusuvuori, Emil",1011
"Ramos-Vinolas, Albert",1075
"Opelka, Reilly",1095
"Bublik, Alexander",1130
"Nishioka, Yoshihito",1134
"van de Zandschulp, Botic",1160
"Cressy, Maxime",1163
"Korda, Sebastian",1175
"Paul, Tommy",1210
"Davidovich Fokina, Alejandro",1280
"Cerundolo, Francisco",1395
"Kecmanovic, Miomir",1420
"Dimitrov, Grigor",1460
"Evans, Daniel",1585
"Coric, Borna",1685
"Schwartzman, Diego",1700
"de Minaur, Alex",1790
"Musetti, Lorenzo",1865
"Kyrgios, Nick",1870
"Bautista Agut, Roberto",1940
"Khachanov, Karen",1990
"Tiafoe, Frances",2000
"Shapovalov, Denis",2075
"Cilic, Marin",2105
"Berrettini, Matteo",2375
"Sinner, Jannik",2410
"Norrie, Cameron",2445
"Carreno Busta, Pablo",2495
"Zverev, Alexander",2700
"Rune, Holger",2888
"Hurkacz, Hubert",2905
"Fritz, Taylor",3355
"Rublev, Andrey",3930
"Medvedev, Daniil",4065
"Auger-Aliassime, Felix",4195
"Djokovic, Novak",4820
"Tsitsipas, Stefanos",5550
"Ruud, Casper",5820
"Nadal, Rafael",6020
"Alcaraz, Carlos",6820
