player,total_points
"T Sau Franco, Alan Raul",1
"T Savelev, Daniil",1
"T Schaefer, Joshua",1
"T Schaer, Raffael",1
"T Schifris, Jeremy",1
"T Schoen, Patrick",1
"T Scomparin, Pietro Romeo",1
"T Searant, Rhys",1
"T Sharygin, Evan",1
"T Sheldon, Max",1
"T Shimanov, Ofek",1
"T Sibille, Imran",1
"T Simpson, Maceo",1
"T Singh, Jagmeet",1
"T Sinha, Adit",1
"T Smoliner, Tobias",1
"T Song, MinKyu",1
"T Sood, Lakshit",1
"T Spencer, Paul",1
"T Spiridon, Denis",1
"T Stable, Rayane",1
"T Steinegger, Yannik",1
"T Stenberg, Jonathan",1
"T Suarez Berrezueta, Omar",1
"T Suntic, Sabit",1
"T Sutekin, Emir",1
"T Sysoev, Nikolay",1
"T Tacchi, Luciano",1
"T Taddia, Leonardo",1
"T Tatlot, Johan",1
"T Teodorovic, Petar",1
"T Tessa, Louis",1
"T Tiukaev, Ruslan",1
"T Tosetto, Rafael",1
"T Trakhtenberg, Gur",1
"T Tsarapkin, Egor",1
"T Ushizima, Henrique Hamamoto",1
"T Vaitiekunas, Pijus",1
"T Vakili, Kian",1
"T Valent, Daniel",1
"T Vallebuona, Duilio",1
"T Van Sambeek, Fons",1
"T Vasser, Oren",1
"T Veremeychuk, Danylo",1
"T Vergara Del Puerto, Martin Antonio",1
"T Vetrih, Miha",1
"T Viiala, Zack",1
"T Vilaro, Alejo",1
"T Vilicich, Bautista",1
"T Visker, Niels",1
"T Vithoontien, Leo",1
"T Vives Marcos, Pedro",1
"T Vlkovsky, Vojtech",1
"T Voljacques, Hugo",1
"T Vujic, Stefan",1
"T Wang, Aoran",1
"T Weir, Phoenix",1
"T Weststrate, Lodewijk",1
"T Wibowo, Tegar Abdi Satrio",1
"T Woerndle, Matthew",1
"T Xilas, Ioannis",1
"T Yoshimura, Daiki",1
"T Zanada, Edoardo",1
"T Zapp, Logan",1
"T Zeljenka, Martin",1
"T Zemel, Yasha",1
"T Zheng, Baoluo",1
"T Zhou, Xian Yao",1
"T Zhzhenov, Konstantin",1
"T Zusman, Richard",1
"Goldenberg, Lior",2
"T Acquaroli, Gianluca",2
"T Ahouda, Walid",2
"T Ahti, Vesa",2
"T Al Azmeh, Taym",2
"T Alarcon, Benjamin Denis",2
"T Alkotop, Mousa",2
"T Alvarado, Patricio",2
"T Amiri, Farzin Danny",2
"T Aramburu Contreras, Ivar Jose",2
"T Bassem Sobhy, Michael",2
"T Bathrinath, Lohithaksha",2
"T Bazilevskiy, Vladimir",2
"T Benchakroun, Mehdi",2
"T Benzal Alia, Ignacio",2
"T Bigun, Kaylan",2
"T Bigun, Meecah",2
"T Biro, Andre",2
"T Blanch, Darwin",2
"T Blockx, Alexander",2
"T Bogo, Enrique",2
"T Borba, Juan",2
"T Boyer, Toby D.",2
"T Breut, Lilian",2
"T Bynoe, Evan",2
"T Cabral, Francisco",2
"T Caldes, Jaime",2
"T Canter, Alexis",2
